Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_589.jpg;0;0;1;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_650.jpg;0;0;0;0;99.66999;85.58897;0.0002360756;56.82556;-1.682639E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_716.jpg;0;0;0;0;99.66999;85.58897;0.0002360299;56.82556;-1.48449E-08
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_783.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_851.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_917.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_29_982.jpg;0;0;0;0;99.66999;85.58897;0.0002360603;56.82556;-1.171242E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_30_050.jpg;0;0;0;0;99.66999;85.58897;0.0002360451;56.82556;-6.598455E-08
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_30_116.jpg;0;0;0;0;99.66999;85.58897;0.0002359885;56.82556;-2.498685E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_30_182.jpg;0;0;0;0;99.66999;85.58897;0.0002357839;56.82556;-3.107983E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_30_249.jpg;0;0;0;0;99.66999;85.58897;0.0002358601;56.82556;-5.665031E-07
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_30_316.jpg;0;0;0;0;99.66999;85.58897;0.0002358144;56.82556;-4.130841E-07
